title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00126,20.999,Month,15.749,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00127,40.946,Month,30.709,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00128,2.729,Month,2.047,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00129,38.895,Month,29.171,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00130,18.662,Month,13.996,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00131,11.903,Month,8.927,Month,25%
AWS Batch,AWS Batch,,ITEM-00132,19.852,Month,14.889,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00133,37.954,Month,28.465,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00134,41.419,Month,31.064,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00135,43.436,Month,32.577,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00136,12.23,Month,9.172,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00137,2.312,Month,1.734,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00138,44.983,Month,33.737,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00139,31.266,Month,23.45,Month,25%
AWS Fargate,AWS Fargate,,ITEM-00140,44.676,Month,33.507,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00141,12.685,Month,9.514,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00142,11.321,Month,8.491,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00143,6.982,Month,5.237,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00144,28.212,Month,21.159,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00145,2.263,Month,1.697,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00146,4.33,Month,3.248,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00147,3.477,Month,2.608,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00148,31.442,Month,23.581,Month,25%
AWS KMS,AWS KMS,,ITEM-00149,8.706,Month,6.529,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00150,42.231,Month,31.673,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00151,25.715,Month,19.286,Month,25%
Amazon S3,Amazon S3,,ITEM-00152,45.969,Month,34.477,Month,25%
AWS IAM,AWS IAM,,ITEM-00153,24.377,Month,18.283,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00154,49.763,Month,37.322,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00155,4.719,Month,3.539,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00156,16.054,Month,12.04,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00157,17.712,Month,13.284,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00158,47.248,Month,35.436,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00159,35.633,Month,26.725,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00160,1.405,Month,1.054,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00161,20.451,Month,15.338,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00162,2.206,Month,1.655,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00163,28.57,Month,21.428,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00164,26.655,Month,19.991,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00165,25.585,Month,19.189,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00166,32.943,Month,24.707,Month,25%
AWS IAM,AWS IAM,,ITEM-00167,19.609,Month,14.707,Month,25%
AWS Glue,AWS Glue,,ITEM-00168,47.719,Month,35.789,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00169,33.927,Month,25.445,Month,25%
Amazon S3,Amazon S3,,ITEM-00170,26.05,Month,19.538,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00171,41.571,Month,31.178,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00172,49.653,Month,37.24,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00173,15.476,Month,11.607,Month,25%
AWS Glue,AWS Glue,,ITEM-00174,12.232,Month,9.174,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00175,13.829,Month,10.372,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00176,44.373,Month,33.28,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00177,18.935,Month,14.201,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00178,4.981,Month,3.736,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00179,13.276,Month,9.957,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00180,38.092,Month,28.569,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00181,31.864,Month,23.898,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00182,31.625,Month,23.719,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00183,44.011,Month,33.008,Month,25%
AWS WAF,AWS WAF,,ITEM-00184,31.935,Month,23.951,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00185,20.667,Month,15.5,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00186,8.687,Month,6.515,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00187,18.468,Month,13.851,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00188,37.457,Month,28.093,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00189,49.166,Month,36.874,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00190,36.343,Month,27.257,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00191,37.769,Month,28.327,Month,25%
AWS Glue,AWS Glue,,ITEM-00192,6.019,Month,4.514,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00193,37.793,Month,28.345,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00194,7.836,Month,5.877,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00195,12.071,Month,9.053,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00196,32.672,Month,24.504,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00197,38.388,Month,28.791,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00198,12.938,Month,9.704,Month,25%
AWS WAF,AWS WAF,,ITEM-00199,46.672,Month,35.004,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00200,47.679,Month,35.759,Month,25%
AWS KMS,AWS KMS,,ITEM-00201,49.708,Month,37.281,Month,25%
AWS Glue,AWS Glue,,ITEM-00202,6.004,Month,4.503,Month,25%
Amazon Lightsail,Amazon Lightsail,,ITEM-00203,34.573,Month,25.93,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00204,45.352,Month,34.014,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00205,24.438,Month,18.328,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00206,4.345,Month,3.259,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00207,6.599,Month,4.949,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00208,14.233,Month,10.675,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00209,43.659,Month,32.744,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00210,42.326,Month,31.745,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00211,36.643,Month,27.482,Month,25%
Amazon CloudFront,Amazon CloudFront,,ITEM-00212,43.776,Month,32.832,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00213,2.252,Month,1.689,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00214,25.129,Month,18.847,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00215,22.898,Month,17.174,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00216,19.252,Month,14.439,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00217,29.533,Month,22.15,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00218,19.584,Month,14.688,Month,25%
AWS Batch,AWS Batch,,ITEM-00219,6.258,Month,4.694,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00220,34.46,Month,25.845,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00221,0.99,Month,0.742,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00222,49.014,Month,36.761,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00223,27.605,Month,20.704,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00224,4.597,Month,3.448,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00225,11.473,Month,8.605,Month,25%
AWS Lambda,AWS Lambda,,ITEM-00226,13.795,Month,10.346,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00227,17.58,Month,13.185,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00228,3.041,Month,2.281,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00229,40.017,Month,30.013,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00230,2.944,Month,2.208,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00231,10.765,Month,8.074,Month,25%
AWS Lake Formation,AWS Lake Formation,,ITEM-00232,45.701,Month,34.276,Month,25%
AWS IAM,AWS IAM,,ITEM-00233,35.806,Month,26.854,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00234,6.967,Month,5.225,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00235,48.628,Month,36.471,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00236,33.383,Month,25.037,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00237,30.846,Month,23.134,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00238,14.614,Month,10.96,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00239,40.067,Month,30.05,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00240,36.936,Month,27.702,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00241,1.489,Month,1.117,Month,25%
AWS KMS,AWS KMS,,ITEM-00242,14.292,Month,10.719,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00243,33.395,Month,25.046,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00244,45.209,Month,33.907,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00245,11.937,Month,8.953,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00246,39.095,Month,29.321,Month,25%
AWS AppSync,AWS AppSync,,ITEM-00247,38.051,Month,28.538,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00248,1.507,Month,1.13,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00249,48.025,Month,36.019,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00250,42.884,Month,32.163,Month,25%
AWS Lambda,AWS Lambda,,ITEM-00251,24.099,Month,18.074,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00252,39.855,Month,29.891,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00253,36.206,Month,27.155,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00254,29.831,Month,22.373,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00255,28.945,Month,21.709,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00256,41.795,Month,31.346,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00257,20.207,Month,15.155,Month,25%
AWS Batch,AWS Batch,,ITEM-00258,14.483,Month,10.862,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00259,49.511,Month,37.133,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00260,34.857,Month,26.143,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00261,38.842,Month,29.131,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00262,6.098,Month,4.574,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00263,5.173,Month,3.88,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00264,11.506,Month,8.63,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00265,47.018,Month,35.264,Month,25%
Amazon S3,Amazon S3,,ITEM-00266,37.186,Month,27.889,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00267,22.853,Month,17.14,Month,25%
AWS Glue,AWS Glue,,ITEM-00268,7.29,Month,5.468,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00269,6.165,Month,4.624,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00270,0.546,Month,0.41,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00271,47.374,Month,35.531,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00272,17.553,Month,13.165,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00273,40.408,Month,30.306,Month,25%
Amazon EC2,Amazon EC2,,ITEM-00274,2.423,Month,1.817,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00275,31.213,Month,23.41,Month,25%
AWS Fargate,AWS Fargate,,ITEM-00276,44.073,Month,33.055,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00277,9.84,Month,7.38,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00278,16.212,Month,12.159,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00279,13.56,Month,10.17,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00280,7.816,Month,5.862,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00281,44.361,Month,33.271,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00282,11.298,Month,8.473,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00283,5.144,Month,3.858,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00284,27.817,Month,20.863,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00285,48.22,Month,36.165,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00286,36.209,Month,27.157,Month,25%
AWS Fargate,AWS Fargate,,ITEM-00287,42.803,Month,32.102,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00288,8.669,Month,6.502,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00289,7.069,Month,5.302,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00290,4.612,Month,3.459,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00291,15.296,Month,11.472,Month,25%
AWS Lake Formation,AWS Lake Formation,,ITEM-00292,25.559,Month,19.169,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00293,25.136,Month,18.852,Month,25%
AWS Lake Formation,AWS Lake Formation,,ITEM-00294,9.335,Month,7.001,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00295,1.147,Month,0.86,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00296,29.835,Month,22.376,Month,25%
AWS Batch,AWS Batch,,ITEM-00297,16.008,Month,12.006,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00298,38.381,Month,28.786,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00299,31.384,Month,23.538,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00300,18.163,Month,13.622,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00301,48.941,Month,36.706,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00302,35.227,Month,26.42,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00303,29.915,Month,22.436,Month,25%
AWS Fargate,AWS Fargate,,ITEM-00304,34.822,Month,26.117,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00305,13.431,Month,10.073,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00306,7.363,Month,5.522,Month,25%
AWS Batch,AWS Batch,,ITEM-00307,35.223,Month,26.417,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00308,29.913,Month,22.435,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00309,27.249,Month,20.437,Month,25%
Amazon Lightsail,Amazon Lightsail,,ITEM-00310,13.737,Month,10.303,Month,25%
Amazon S3,Amazon S3,,ITEM-00311,39.757,Month,29.818,Month,25%
