title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00131,71.075,Month,53.306,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00132,40.9,Month,30.675,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00133,5.456,Month,4.092,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00134,41.726,Month,31.294,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00135,88.994,Month,66.745,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00136,109.739,Month,82.304,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00137,112.307,Month,84.23,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00138,19.405,Month,14.554,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00139,47.63,Month,35.723,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00140,15.964,Month,11.973,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00141,78.415,Month,58.811,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00142,118.426,Month,88.82,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00143,3.711,Month,2.783,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00144,102.656,Month,76.992,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00145,84.817,Month,63.613,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00146,99.733,Month,74.8,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00147,82.921,Month,62.191,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00148,46.332,Month,34.749,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00149,78.581,Month,58.936,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00150,52.694,Month,39.52,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00151,92.364,Month,69.273,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00152,59.651,Month,44.738,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00153,108.238,Month,81.178,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00154,107.006,Month,80.255,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00155,35.11,Month,26.332,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00156,77.694,Month,58.27,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00157,23.568,Month,17.676,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00158,53.714,Month,40.285,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00159,8.074,Month,6.056,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00160,98.521,Month,73.891,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00161,41.434,Month,31.075,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00162,82.511,Month,61.883,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00163,35.161,Month,26.371,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00164,107.431,Month,80.573,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00165,33.677,Month,25.258,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00166,63.529,Month,47.647,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00167,82.591,Month,61.943,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00168,114.391,Month,85.793,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00169,88.789,Month,66.592,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00170,26.036,Month,19.527,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00171,111.18,Month,83.385,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00172,12.174,Month,9.13,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00173,35.635,Month,26.726,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00174,72.203,Month,54.152,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00175,6.964,Month,5.223,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00176,19.312,Month,14.484,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00177,117.933,Month,88.45,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00178,8.293,Month,6.22,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00179,85.053,Month,63.79,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00180,90.678,Month,68.008,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00181,35.294,Month,26.47,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00182,97.758,Month,73.319,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00183,68.921,Month,51.691,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00184,88.632,Month,66.474,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00185,68.694,Month,51.52,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00186,95.035,Month,71.276,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00187,87.767,Month,65.825,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00188,15.916,Month,11.937,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00189,48.218,Month,36.163,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00190,86.368,Month,64.776,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00191,91.833,Month,68.875,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00192,39.724,Month,29.793,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00193,59.045,Month,44.284,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00194,21.838,Month,16.379,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00195,13.948,Month,10.461,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00196,59.243,Month,44.432,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00197,91.126,Month,68.345,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00198,68.818,Month,51.614,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00199,115.866,Month,86.9,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00200,64.84,Month,48.63,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00201,2.48,Month,1.86,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00202,110.144,Month,82.608,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00203,41.66,Month,31.245,Month,25%
Oracle Cloud Infrastructure Key Management,KMS,OCI service description for KMS,ITEM-ORCL-00204,26.946,Month,20.21,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00205,62.75,Month,47.062,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00206,31.864,Month,23.898,Month,25%
