csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Connectivity/CDN,VPN Gateway - VpnGw5,AZURE-1070,azure,Networking,IL2|IL4,True
GenAI/ML Services,Azure OpenAI - GPT-3.5-Turbo,AZURE-1071,azure,AI/ML,IL2,False
GenAI/ML Services,Azure OpenAI - GPT-4,AZURE-1072,azure,AI/ML,IL2|IL4,True
GenAI/ML Services,Azure OpenAI - GPT-4-32k,AZURE-1073,azure,AI/ML,IL4|IL5,False
GenAI/ML Services,Azure OpenAI - DALL-E 3,AZURE-1074,azure,AI/ML,IL2,True
GenAI/ML Services,Azure OpenAI - Whisper,AZURE-1075,azure,AI/ML,IL5|IL6,False
PaaS/Containers,App Service - F1 Free,AZURE-1076,azure,App Hosting,IL2|IL4|IL5|IL6,True
PaaS/Containers,App Service - B1 Basic,AZURE-1077,azure,App Hosting,IL4|IL5,True
PaaS/Containers,App Service - S1 Standard,AZURE-1078,azure,App Hosting,IL4,True
PaaS/Containers,App Service - P1v2 Premium,AZURE-1079,azure,App Hosting,IL5|IL6,True
PaaS/Containers,App Service - P1v3 Premium,AZURE-1080,azure,App Hosting,IL2,True
Data Warehouse/BI,Synapse - Data Integration,AZURE-1081,azure,Analytics,IL2|IL4,False
Data Warehouse/BI,Synapse - SQL Pool,AZURE-1082,azure,Analytics,IL2|IL4|IL5|IL6,False
Data Warehouse/BI,Synapse - Spark Pool,AZURE-1083,azure,Analytics,IL2|IL4|IL5|IL6,False
Identity/Encryption,Sentinel - Data Ingestion,AZURE-1084,azure,Security,IL2,True
Identity/Encryption,Sentinel - Retention,AZURE-1085,azure,Security,IL4|IL5,True
Compute (VM/GPU/Serverless),Functions - Consumption Plan,AZURE-1086,azure,Compute,IL6,True
Compute (VM/GPU/Serverless),Functions - Premium Plan,AZURE-1087,azure,Compute,IL2,False
Compute (VM/GPU/Serverless),Virtual Machines - D2s v3,AZURE-1088,azure,Compute,IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - D4s v3,AZURE-1089,azure,Compute,IL2|IL4|IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - E2s v3,AZURE-1090,azure,Compute,IL4,True
Compute (VM/GPU/Serverless),Virtual Machines - F2s v2,AZURE-1091,azure,Compute,IL5,True
Compute (VM/GPU/Serverless),Virtual Machines - B1s,AZURE-1092,azure,Compute,IL4|IL5,True
Compute (VM/GPU/Serverless),Virtual Machines - B2s,AZURE-1093,azure,Compute,IL5|IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - NC6,AZURE-1094,azure,Compute,IL2|IL4|IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - ND96asr_v4,AZURE-1095,azure,Compute,IL4,False
Object/Block/File Storage,Blob Storage - Hot LRS,AZURE-1096,azure,Storage,IL5,True
Object/Block/File Storage,Blob Storage - Cool LRS,AZURE-1097,azure,Storage,IL2|IL4,False
Object/Block/File Storage,Blob Storage - Archive LRS,AZURE-1098,azure,Storage,IL2,True
Object/Block/File Storage,Blob Storage - Premium ZRS,AZURE-1099,azure,Storage,IL5|IL6,True
Object/Block/File Storage,Blob Storage - Hot GRS,AZURE-1100,azure,Storage,IL2|IL4,True
Managed SQL/NoSQL DB,Azure SQL - Basic DTU,AZURE-1101,azure,Database,IL6,True
Managed SQL/NoSQL DB,Azure SQL - Standard DTU,AZURE-1102,azure,Database,IL5,False
Managed SQL/NoSQL DB,Azure SQL - Premium DTU,AZURE-1103,azure,Database,IL5|IL6,True
Managed SQL/NoSQL DB,Azure SQL - vCore General Purpose,AZURE-1104,azure,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Azure SQL - vCore Business Critical,AZURE-1105,azure,Database,IL4,True
Managed SQL/NoSQL DB,Cosmos DB - Provisioned RU/s,AZURE-1106,azure,Database,IL6,False
Managed SQL/NoSQL DB,Cosmos DB - Autoscale RU/s,AZURE-1107,azure,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Cosmos DB - Multi-region writes,AZURE-1108,azure,Database,IL6,False
Connectivity/CDN,VPN Gateway - Basic,AZURE-1109,azure,Networking,IL2,True
Connectivity/CDN,VPN Gateway - VpnGw1,AZURE-1110,azure,Networking,IL2|IL4|IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw2,AZURE-1111,azure,Networking,IL5,True
Connectivity/CDN,VPN Gateway - VpnGw3,AZURE-1112,azure,Networking,IL4|IL5,True
Connectivity/CDN,VPN Gateway - VpnGw4,AZURE-1113,azure,Networking,IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw5,AZURE-1114,azure,Networking,IL2|IL4|IL5|IL6,False
GenAI/ML Services,Azure OpenAI - GPT-3.5-Turbo,AZURE-1115,azure,AI/ML,IL5,False
GenAI/ML Services,Azure OpenAI - GPT-4,AZURE-1116,azure,AI/ML,IL4|IL5,False
GenAI/ML Services,Azure OpenAI - GPT-4-32k,AZURE-1117,azure,AI/ML,IL6,True
GenAI/ML Services,Azure OpenAI - DALL-E 3,AZURE-1118,azure,AI/ML,IL5|IL6,False
GenAI/ML Services,Azure OpenAI - Whisper,AZURE-1119,azure,AI/ML,IL6,False
PaaS/Containers,App Service - F1 Free,AZURE-1120,azure,App Hosting,IL5|IL6,True
PaaS/Containers,App Service - B1 Basic,AZURE-1121,azure,App Hosting,IL4,True
PaaS/Containers,App Service - S1 Standard,AZURE-1122,azure,App Hosting,IL2|IL4,False
PaaS/Containers,App Service - P1v2 Premium,AZURE-1123,azure,App Hosting,IL4|IL5,True
PaaS/Containers,App Service - P1v3 Premium,AZURE-1124,azure,App Hosting,IL4,True
Data Warehouse/BI,Synapse - Data Integration,AZURE-1125,azure,Analytics,IL2|IL4,True
Data Warehouse/BI,Synapse - SQL Pool,AZURE-1126,azure,Analytics,IL5,True
Data Warehouse/BI,Synapse - Spark Pool,AZURE-1127,azure,Analytics,IL2,True
Identity/Encryption,Sentinel - Data Ingestion,AZURE-1128,azure,Security,IL4,False
Identity/Encryption,Sentinel - Retention,AZURE-1129,azure,Security,IL2|IL4,True
Compute (VM/GPU/Serverless),Functions - Consumption Plan,AZURE-1130,azure,Compute,IL2,False
Compute (VM/GPU/Serverless),Functions - Premium Plan,AZURE-1131,azure,Compute,IL2,True
Compute (VM/GPU/Serverless),Virtual Machines - D2s v3,AZURE-1132,azure,Compute,IL2|IL4,True
Compute (VM/GPU/Serverless),Virtual Machines - D4s v3,AZURE-1133,azure,Compute,IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - E2s v3,AZURE-1134,azure,Compute,IL4|IL5,False
Compute (VM/GPU/Serverless),Virtual Machines - F2s v2,AZURE-1135,azure,Compute,IL5,False
Compute (VM/GPU/Serverless),Virtual Machines - B1s,AZURE-1136,azure,Compute,IL4|IL5,False
Compute (VM/GPU/Serverless),Virtual Machines - B2s,AZURE-1137,azure,Compute,IL2,True
Compute (VM/GPU/Serverless),Virtual Machines - NC6,AZURE-1138,azure,Compute,IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - ND96asr_v4,AZURE-1139,azure,Compute,IL5|IL6,False
Object/Block/File Storage,Blob Storage - Hot LRS,AZURE-1140,azure,Storage,IL4|IL5,False
Object/Block/File Storage,Blob Storage - Cool LRS,AZURE-1141,azure,Storage,IL5,False
Object/Block/File Storage,Blob Storage - Archive LRS,AZURE-1142,azure,Storage,IL4,True
Object/Block/File Storage,Blob Storage - Premium ZRS,AZURE-1143,azure,Storage,IL2,False
Object/Block/File Storage,Blob Storage - Hot GRS,AZURE-1144,azure,Storage,IL5,True
Managed SQL/NoSQL DB,Azure SQL - Basic DTU,AZURE-1145,azure,Database,IL5,False
Managed SQL/NoSQL DB,Azure SQL - Standard DTU,AZURE-1146,azure,Database,IL6,False
Managed SQL/NoSQL DB,Azure SQL - Premium DTU,AZURE-1147,azure,Database,IL2|IL4|IL5|IL6,False
Managed SQL/NoSQL DB,Azure SQL - vCore General Purpose,AZURE-1148,azure,Database,IL5,False
Managed SQL/NoSQL DB,Azure SQL - vCore Business Critical,AZURE-1149,azure,Database,IL4|IL5,True
Managed SQL/NoSQL DB,Cosmos DB - Provisioned RU/s,AZURE-1150,azure,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Cosmos DB - Autoscale RU/s,AZURE-1151,azure,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Cosmos DB - Multi-region writes,AZURE-1152,azure,Database,IL5|IL6,False
Connectivity/CDN,VPN Gateway - Basic,AZURE-1153,azure,Networking,IL2|IL4|IL5|IL6,False
Connectivity/CDN,VPN Gateway - VpnGw1,AZURE-1154,azure,Networking,IL4,False
Connectivity/CDN,VPN Gateway - VpnGw2,AZURE-1155,azure,Networking,IL4|IL5,True
Connectivity/CDN,VPN Gateway - VpnGw3,AZURE-1156,azure,Networking,IL2|IL4|IL5|IL6,False
Connectivity/CDN,VPN Gateway - VpnGw4,AZURE-1157,azure,Networking,IL5|IL6,False
Connectivity/CDN,VPN Gateway - VpnGw5,AZURE-1158,azure,Networking,IL5|IL6,False
GenAI/ML Services,Azure OpenAI - GPT-3.5-Turbo,AZURE-1159,azure,AI/ML,IL5|IL6,False
GenAI/ML Services,Azure OpenAI - GPT-4,AZURE-1160,azure,AI/ML,IL2|IL4|IL5|IL6,True
GenAI/ML Services,Azure OpenAI - GPT-4-32k,AZURE-1161,azure,AI/ML,IL4,True
GenAI/ML Services,Azure OpenAI - DALL-E 3,AZURE-1162,azure,AI/ML,IL2|IL4|IL5|IL6,False
GenAI/ML Services,Azure OpenAI - Whisper,AZURE-1163,azure,AI/ML,IL2|IL4,True
PaaS/Containers,App Service - F1 Free,AZURE-1164,azure,App Hosting,IL4|IL5,False
PaaS/Containers,App Service - B1 Basic,AZURE-1165,azure,App Hosting,IL6,True
PaaS/Containers,App Service - S1 Standard,AZURE-1166,azure,App Hosting,IL2,True
