title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
App Engine,App Engine,,ITEM-00165,37.292,Month,27.969,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00166,28.952,Month,21.714,Month,25%
Dataproc,Dataproc,,ITEM-00167,24.679,Month,18.509,Month,25%
BigQuery,BigQuery,,ITEM-00168,46.275,Month,34.706,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00169,3.637,Month,2.728,Month,25%
Dataflow,Dataflow,,ITEM-00170,12.921,Month,9.691,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00171,41.435,Month,31.076,Month,25%
Secret Manager,Secret Manager,,ITEM-00172,44.153,Month,33.115,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00173,9.053,Month,6.79,Month,25%
VPC Network,VPC Network,,ITEM-00174,29.032,Month,21.774,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00175,2.583,Month,1.937,Month,25%
App Engine,App Engine,,ITEM-00176,20.716,Month,15.537,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00177,49.292,Month,36.969,Month,25%
Vertex AI,Vertex AI,,ITEM-00178,30.805,Month,23.104,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00179,44.393,Month,33.295,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00180,44.29,Month,33.218,Month,25%
Dataproc,Dataproc,,ITEM-00181,14.866,Month,11.149,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00182,36.466,Month,27.349,Month,25%
Compute Engine,Compute Engine,,ITEM-00183,26.706,Month,20.029,Month,25%
Cloud Build,Cloud Build,,ITEM-00184,7.274,Month,5.455,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00185,21.863,Month,16.397,Month,25%
Compute Engine,Compute Engine,,ITEM-00186,6.198,Month,4.649,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00187,39.599,Month,29.699,Month,25%
Compute Engine,Compute Engine,,ITEM-00188,46.72,Month,35.04,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00189,43.647,Month,32.735,Month,25%
Dataflow,Dataflow,,ITEM-00190,12.167,Month,9.125,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00191,40.831,Month,30.623,Month,25%
Cloud Run,Cloud Run,,ITEM-00192,18.478,Month,13.859,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00193,29.236,Month,21.927,Month,25%
Firestore,Firestore,,ITEM-00194,1.295,Month,0.971,Month,25%
App Engine,App Engine,,ITEM-00195,5.448,Month,4.086,Month,25%
Dataflow,Dataflow,,ITEM-00196,14.071,Month,10.553,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00197,44.49,Month,33.367,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00198,18.951,Month,14.213,Month,25%
VPC Network,VPC Network,,ITEM-00199,47.103,Month,35.327,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00200,7.524,Month,5.643,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00201,16.655,Month,12.491,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00202,0.802,Month,0.602,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00203,14.388,Month,10.791,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00204,33.085,Month,24.814,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00205,47.833,Month,35.875,Month,25%
Secret Manager,Secret Manager,,ITEM-00206,4.329,Month,3.247,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00207,34.286,Month,25.715,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00208,23.128,Month,17.346,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00209,15.738,Month,11.803,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00210,42.733,Month,32.05,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00211,9.151,Month,6.863,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00212,48.101,Month,36.076,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00213,19.43,Month,14.572,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00214,47.571,Month,35.678,Month,25%
Cloud Build,Cloud Build,,ITEM-00215,2.803,Month,2.102,Month,25%
Cloud Run,Cloud Run,,ITEM-00216,36.131,Month,27.098,Month,25%
Memorystore,Memorystore,,ITEM-00217,17.05,Month,12.788,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00218,26.42,Month,19.815,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00219,18.017,Month,13.513,Month,25%
Dataflow,Dataflow,,ITEM-00220,8.25,Month,6.188,Month,25%
Workflows,Workflows,,ITEM-00221,3.188,Month,2.391,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00222,25.12,Month,18.84,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00223,23.004,Month,17.253,Month,25%
BigQuery,BigQuery,,ITEM-00224,41.708,Month,31.281,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00225,32.739,Month,24.554,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00226,29.958,Month,22.468,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00227,9.133,Month,6.85,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00228,6.559,Month,4.919,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00229,19.069,Month,14.302,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00230,42.518,Month,31.889,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00231,9.67,Month,7.252,Month,25%
Cloud Run,Cloud Run,,ITEM-00232,6.217,Month,4.663,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00233,8.821,Month,6.616,Month,25%
Error Reporting,Error Reporting,,ITEM-00234,8.358,Month,6.269,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00235,26.502,Month,19.877,Month,25%
Firestore,Firestore,,ITEM-00236,12.18,Month,9.135,Month,25%
App Engine,App Engine,,ITEM-00237,39.79,Month,29.843,Month,25%
Secret Manager,Secret Manager,,ITEM-00238,18.692,Month,14.019,Month,25%
Secret Manager,Secret Manager,,ITEM-00239,8.311,Month,6.233,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00240,22.334,Month,16.75,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00241,28.365,Month,21.274,Month,25%
Error Reporting,Error Reporting,,ITEM-00242,33.43,Month,25.072,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00243,49.78,Month,37.335,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00244,25.88,Month,19.41,Month,25%
Compute Engine,Compute Engine,,ITEM-00245,22.751,Month,17.063,Month,25%
Apigee,Apigee,,ITEM-00246,18.38,Month,13.785,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00247,39.97,Month,29.977,Month,25%
Dataflow,Dataflow,,ITEM-00248,30.832,Month,23.124,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00249,25.949,Month,19.462,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00250,16.904,Month,12.678,Month,25%
Cloud Build,Cloud Build,,ITEM-00251,5.017,Month,3.763,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00252,22.997,Month,17.248,Month,25%
Secret Manager,Secret Manager,,ITEM-00253,17.263,Month,12.947,Month,25%
Workflows,Workflows,,ITEM-00254,47.551,Month,35.663,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00255,37.145,Month,27.859,Month,25%
Cloud Tasks,Cloud Tasks,,ITEM-00256,0.407,Month,0.305,Month,25%
App Engine,App Engine,,ITEM-00257,44.63,Month,33.473,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00258,17.689,Month,13.267,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00259,8.749,Month,6.562,Month,25%
Firestore,Firestore,,ITEM-00260,36.433,Month,27.325,Month,25%
Cloud Build,Cloud Build,,ITEM-00261,7.775,Month,5.831,Month,25%
App Engine,App Engine,,ITEM-00262,16.208,Month,12.156,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00263,47.095,Month,35.321,Month,25%
VPC Network,VPC Network,,ITEM-00264,12.766,Month,9.575,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00265,16.818,Month,12.614,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00266,23.323,Month,17.492,Month,25%
Compute Engine,Compute Engine,,ITEM-00267,39.05,Month,29.287,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00268,16.338,Month,12.254,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00269,1.046,Month,0.784,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00270,25.902,Month,19.427,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00271,37.793,Month,28.345,Month,25%
Secret Manager,Secret Manager,,ITEM-00272,43.679,Month,32.759,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00273,24.51,Month,18.383,Month,25%
Cloud Run,Cloud Run,,ITEM-00274,41.685,Month,31.264,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00275,9.07,Month,6.803,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00276,46.318,Month,34.739,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00277,41.888,Month,31.416,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00278,29.451,Month,22.088,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00279,40.404,Month,30.303,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00280,28.235,Month,21.176,Month,25%
App Engine,App Engine,,ITEM-00281,26.336,Month,19.752,Month,25%
Vertex AI,Vertex AI,,ITEM-00282,13.195,Month,9.896,Month,25%
Cloud Scheduler,Cloud Scheduler,,ITEM-00283,47.726,Month,35.794,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00284,4.858,Month,3.643,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00285,32.119,Month,24.089,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00286,18.802,Month,14.101,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00287,17.787,Month,13.34,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00288,14.252,Month,10.689,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00289,40.858,Month,30.643,Month,25%
Secret Manager,Secret Manager,,ITEM-00290,23.39,Month,17.543,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00291,35.908,Month,26.931,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00292,33.28,Month,24.96,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00293,8.133,Month,6.1,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00294,31.827,Month,23.87,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00295,20.852,Month,15.639,Month,25%
Compute Engine,Compute Engine,,ITEM-00296,39.815,Month,29.861,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00297,8.275,Month,6.206,Month,25%
Cloud Run,Cloud Run,,ITEM-00298,18.074,Month,13.556,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00299,38.092,Month,28.569,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00300,21.881,Month,16.411,Month,25%
Cloud Build,Cloud Build,,ITEM-00301,29.253,Month,21.94,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00302,1.956,Month,1.467,Month,25%
Cloud Scheduler,Cloud Scheduler,,ITEM-00303,15.587,Month,11.69,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00304,34.168,Month,25.626,Month,25%
BigQuery,BigQuery,,ITEM-00305,33.174,Month,24.88,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00306,21.801,Month,16.351,Month,25%
Dataflow,Dataflow,,ITEM-00307,23.054,Month,17.29,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00308,25.91,Month,19.433,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00309,18.403,Month,13.802,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00310,6.757,Month,5.068,Month,25%
VPC Network,VPC Network,,ITEM-00311,27.565,Month,20.674,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00312,10.674,Month,8.005,Month,25%
Memorystore,Memorystore,,ITEM-00313,12.85,Month,9.637,Month,25%
Compute Engine,Compute Engine,,ITEM-00314,35.761,Month,26.821,Month,25%
Workflows,Workflows,,ITEM-00315,15.177,Month,11.383,Month,25%
BigQuery,BigQuery,,ITEM-00316,12.905,Month,9.679,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00317,1.119,Month,0.839,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00318,37.833,Month,28.375,Month,25%
Cloud Run,Cloud Run,,ITEM-00319,36.93,Month,27.697,Month,25%
BigQuery,BigQuery,,ITEM-00320,9.851,Month,7.388,Month,25%
VPC Network,VPC Network,,ITEM-00321,45.534,Month,34.151,Month,25%
App Engine,App Engine,,ITEM-00322,6.338,Month,4.753,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00323,29.355,Month,22.016,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00324,22.837,Month,17.128,Month,25%
Memorystore,Memorystore,,ITEM-00325,36.696,Month,27.522,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00326,4.209,Month,3.157,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00327,49.427,Month,37.07,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00328,33.863,Month,25.397,Month,25%
