csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - OCPU,OCI-5057,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - Memory (GB),OCI-5058,oracle,Compute,IL4|IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - OCPU,OCI-5059,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - Memory (GB),OCI-5060,oracle,Compute,IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - OCPU,OCI-5061,oracle,Compute,IL4|IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - Memory (GB),OCI-5062,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.GPU.A10.1 - 1 GPU,OCI-5063,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - BM.Standard.E5.128 - Bare Metal,OCI-5064,oracle,Compute,IL4|IL5,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Balanced,OCI-5065,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Higher Perf,OCI-5066,oracle,Storage,IL4|IL5,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Ultra High,OCI-5067,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Block Volume - Storage Capacity,OCI-5068,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,Object Storage - Standard Storage,OCI-5069,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,Object Storage - Archive Storage,OCI-5070,oracle,Storage,IL5,True
Object/Block/File Storage,Object Storage - Requests (A/B),OCI-5071,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Object Storage - Data Retrieval,OCI-5072,oracle,Storage,IL4,True
Object/Block/File Storage,File Storage - Capacity,OCI-5073,oracle,Storage,IL2|IL4,False
Object/Block/File Storage,File Storage - Requests,OCI-5074,oracle,Storage,IL5,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - OCPU,OCI-5075,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - Storage,OCI-5076,oracle,Database,IL5,False
Managed SQL/NoSQL DB,Base Database Service - Standard Edition,OCI-5077,oracle,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition,OCI-5078,oracle,Database,IL2,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition High Performance,OCI-5079,oracle,Database,IL2,True
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition Extreme Performance,OCI-5080,oracle,Database,IL5,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 Infrastructure,OCI-5081,oracle,Database,IL4|IL5,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 OCPU,OCI-5082,oracle,Database,IL2|IL4,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (10Mbps),OCI-5083,oracle,Networking,IL4,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (100Mbps),OCI-5084,oracle,Networking,IL2,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (1000Mbps),OCI-5085,oracle,Networking,IL2,False
Connectivity/CDN/LB,FastConnect - 1 Gbps,OCI-5086,oracle,Networking,IL2,True
Connectivity/CDN/LB,FastConnect - 10 Gbps,OCI-5087,oracle,Networking,IL4|IL5,False
Connectivity/CDN/LB,VCN Data Transfer - Inbound,OCI-5088,oracle,Networking,IL5,False
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (First 10TB free),OCI-5089,oracle,Networking,IL2,False
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (Next 40TB),OCI-5090,oracle,Networking,IL4|IL5,True
GenAI/AI Services,AI Services - Vision - Image Analysis,OCI-5091,oracle,AI/ML,IL5,False
GenAI/AI Services,AI Services - Vision - Document AI,OCI-5092,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,AI Services - Language - Sentiment Analysis,OCI-5093,oracle,AI/ML,IL4,True
GenAI/AI Services,AI Services - Speech - Transcription,OCI-5094,oracle,AI/ML,IL5,False
GenAI/AI Services,AI Services - Anomaly Detection,OCI-5095,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,Generative AI - Llama-2-70b Inference,OCI-5096,oracle,AI/ML,IL5,True
GenAI/AI Services,Generative AI - Cohere Command Inference,OCI-5097,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,Generative AI - Dedicated AI Cluster,OCI-5098,oracle,AI/ML,IL5,False
Analytics/Data Warehouse,Analytics Cloud - Professional Edition,OCI-5099,oracle,Analytics,IL2,False
Analytics/Data Warehouse,Analytics Cloud - Enterprise Edition,OCI-5100,oracle,Analytics,IL2,True
Identity/Security/WAF,Cloud Guard - Global Configuration,OCI-5101,oracle,Security,IL2,False
Identity/Security/WAF,WAF - Edge Policy,OCI-5102,oracle,Security,IL4|IL5,False
Identity/Security/WAF,WAF - Request fee,OCI-5103,oracle,Security,IL4|IL5,False
Identity/Security/WAF,Vault - Key Version,OCI-5104,oracle,Security,IL2|IL4,True
Identity/Security/WAF,Vault - Secret Version,OCI-5105,oracle,Security,IL2|IL4,True
PaaS/Containers/Functions,OKE (Kubernetes) - Cluster Management Fee,OCI-5106,oracle,Developer Services,IL2,False
PaaS/Containers/Functions,OKE (Kubernetes) - Worker Node OCPU,OCI-5107,oracle,Developer Services,IL5,False
PaaS/Containers/Functions,Functions - Invocations,OCI-5108,oracle,Developer Services,IL2,False
PaaS/Containers/Functions,Functions - Execution Duration (GB-Sec),OCI-5109,oracle,Developer Services,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - OCPU,OCI-5110,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - Memory (GB),OCI-5111,oracle,Compute,IL4|IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - OCPU,OCI-5112,oracle,Compute,IL2|IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - Memory (GB),OCI-5113,oracle,Compute,IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - OCPU,OCI-5114,oracle,Compute,IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - Memory (GB),OCI-5115,oracle,Compute,IL2|IL4,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - OCPU,OCI-5116,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - Memory (GB),OCI-5117,oracle,Compute,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.GPU.A10.1 - 1 GPU,OCI-5118,oracle,Compute,IL2|IL4,False
Compute (VM/GPU/Bare Metal),Compute Instance - BM.Standard.E5.128 - Bare Metal,OCI-5119,oracle,Compute,IL2|IL4,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Balanced,OCI-5120,oracle,Storage,IL5,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Higher Perf,OCI-5121,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Ultra High,OCI-5122,oracle,Storage,IL5,False
Object/Block/File Storage,Block Volume - Storage Capacity,OCI-5123,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,Object Storage - Standard Storage,OCI-5124,oracle,Storage,IL4|IL5,True
Object/Block/File Storage,Object Storage - Archive Storage,OCI-5125,oracle,Storage,IL5,False
Object/Block/File Storage,Object Storage - Requests (A/B),OCI-5126,oracle,Storage,IL5,False
Object/Block/File Storage,Object Storage - Data Retrieval,OCI-5127,oracle,Storage,IL2,False
Object/Block/File Storage,File Storage - Capacity,OCI-5128,oracle,Storage,IL2,True
Object/Block/File Storage,File Storage - Requests,OCI-5129,oracle,Storage,IL5,True
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - OCPU,OCI-5130,oracle,Database,IL2,True
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - Storage,OCI-5131,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Standard Edition,OCI-5132,oracle,Database,IL2,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition,OCI-5133,oracle,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition High Performance,OCI-5134,oracle,Database,IL4,True
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition Extreme Performance,OCI-5135,oracle,Database,IL5,False
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 Infrastructure,OCI-5136,oracle,Database,IL5,False
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 OCPU,OCI-5137,oracle,Database,IL5,True
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (10Mbps),OCI-5138,oracle,Networking,IL5,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (100Mbps),OCI-5139,oracle,Networking,IL4|IL5,True
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (1000Mbps),OCI-5140,oracle,Networking,IL4|IL5,True
Connectivity/CDN/LB,FastConnect - 1 Gbps,OCI-5141,oracle,Networking,IL4|IL5,True
Connectivity/CDN/LB,FastConnect - 10 Gbps,OCI-5142,oracle,Networking,IL2|IL4,False
Connectivity/CDN/LB,VCN Data Transfer - Inbound,OCI-5143,oracle,Networking,IL5,True
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (First 10TB free),OCI-5144,oracle,Networking,IL5,True
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (Next 40TB),OCI-5145,oracle,Networking,IL2,True
GenAI/AI Services,AI Services - Vision - Image Analysis,OCI-5146,oracle,AI/ML,IL5,True
GenAI/AI Services,AI Services - Vision - Document AI,OCI-5147,oracle,AI/ML,IL4|IL5,True
GenAI/AI Services,AI Services - Language - Sentiment Analysis,OCI-5148,oracle,AI/ML,IL5,True
GenAI/AI Services,AI Services - Speech - Transcription,OCI-5149,oracle,AI/ML,IL5,False
GenAI/AI Services,AI Services - Anomaly Detection,OCI-5150,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,Generative AI - Llama-2-70b Inference,OCI-5151,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,Generative AI - Cohere Command Inference,OCI-5152,oracle,AI/ML,IL2|IL4,False
GenAI/AI Services,Generative AI - Dedicated AI Cluster,OCI-5153,oracle,AI/ML,IL2,False
Analytics/Data Warehouse,Analytics Cloud - Professional Edition,OCI-5154,oracle,Analytics,IL2|IL4,False
Analytics/Data Warehouse,Analytics Cloud - Enterprise Edition,OCI-5155,oracle,Analytics,IL2|IL4,True
Identity/Security/WAF,Cloud Guard - Global Configuration,OCI-5156,oracle,Security,IL2|IL4,True
Identity/Security/WAF,WAF - Edge Policy,OCI-5157,oracle,Security,IL2,False
Identity/Security/WAF,WAF - Request fee,OCI-5158,oracle,Security,IL4,False
Identity/Security/WAF,Vault - Key Version,OCI-5159,oracle,Security,IL4|IL5,True
Identity/Security/WAF,Vault - Secret Version,OCI-5160,oracle,Security,IL4,False
PaaS/Containers/Functions,OKE (Kubernetes) - Cluster Management Fee,OCI-5161,oracle,Developer Services,IL2|IL4,True
PaaS/Containers/Functions,OKE (Kubernetes) - Worker Node OCPU,OCI-5162,oracle,Developer Services,IL2,False
PaaS/Containers/Functions,Functions - Invocations,OCI-5163,oracle,Developer Services,IL4,False
PaaS/Containers/Functions,Functions - Execution Duration (GB-Sec),OCI-5164,oracle,Developer Services,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - OCPU,OCI-5165,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - Memory (GB),OCI-5166,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - OCPU,OCI-5167,oracle,Compute,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - Memory (GB),OCI-5168,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - OCPU,OCI-5169,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - Memory (GB),OCI-5170,oracle,Compute,IL2|IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - OCPU,OCI-5171,oracle,Compute,IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - Memory (GB),OCI-5172,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.GPU.A10.1 - 1 GPU,OCI-5173,oracle,Compute,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - BM.Standard.E5.128 - Bare Metal,OCI-5174,oracle,Compute,IL4|IL5,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Balanced,OCI-5175,oracle,Storage,IL5,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Higher Perf,OCI-5176,oracle,Storage,IL5,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Ultra High,OCI-5177,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Block Volume - Storage Capacity,OCI-5178,oracle,Storage,IL2|IL4,False
Object/Block/File Storage,Object Storage - Standard Storage,OCI-5179,oracle,Storage,IL2,False
Object/Block/File Storage,Object Storage - Archive Storage,OCI-5180,oracle,Storage,IL2,True
Object/Block/File Storage,Object Storage - Requests (A/B),OCI-5181,oracle,Storage,IL5,True
Object/Block/File Storage,Object Storage - Data Retrieval,OCI-5182,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,File Storage - Capacity,OCI-5183,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,File Storage - Requests,OCI-5184,oracle,Storage,IL2|IL4,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - OCPU,OCI-5185,oracle,Database,IL2,True
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - Storage,OCI-5186,oracle,Database,IL4|IL5,True
Managed SQL/NoSQL DB,Base Database Service - Standard Edition,OCI-5187,oracle,Database,IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition,OCI-5188,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition High Performance,OCI-5189,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition Extreme Performance,OCI-5190,oracle,Database,IL4,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 Infrastructure,OCI-5191,oracle,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 OCPU,OCI-5192,oracle,Database,IL4|IL5,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (10Mbps),OCI-5193,oracle,Networking,IL5,True
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (100Mbps),OCI-5194,oracle,Networking,IL5,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (1000Mbps),OCI-5195,oracle,Networking,IL2,True
Connectivity/CDN/LB,FastConnect - 1 Gbps,OCI-5196,oracle,Networking,IL5,False
Connectivity/CDN/LB,FastConnect - 10 Gbps,OCI-5197,oracle,Networking,IL2|IL4,True
Connectivity/CDN/LB,VCN Data Transfer - Inbound,OCI-5198,oracle,Networking,IL4,False
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (First 10TB free),OCI-5199,oracle,Networking,IL2|IL4,True
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (Next 40TB),OCI-5200,oracle,Networking,IL5,True
GenAI/AI Services,AI Services - Vision - Image Analysis,OCI-5201,oracle,AI/ML,IL4,False
GenAI/AI Services,AI Services - Vision - Document AI,OCI-5202,oracle,AI/ML,IL4|IL5,True
GenAI/AI Services,AI Services - Language - Sentiment Analysis,OCI-5203,oracle,AI/ML,IL5,True
GenAI/AI Services,AI Services - Speech - Transcription,OCI-5204,oracle,AI/ML,IL5,True
GenAI/AI Services,AI Services - Anomaly Detection,OCI-5205,oracle,AI/ML,IL2|IL4,False
GenAI/AI Services,Generative AI - Llama-2-70b Inference,OCI-5206,oracle,AI/ML,IL4,False
GenAI/AI Services,Generative AI - Cohere Command Inference,OCI-5207,oracle,AI/ML,IL4,True
GenAI/AI Services,Generative AI - Dedicated AI Cluster,OCI-5208,oracle,AI/ML,IL2,False
Analytics/Data Warehouse,Analytics Cloud - Professional Edition,OCI-5209,oracle,Analytics,IL2,True
Analytics/Data Warehouse,Analytics Cloud - Enterprise Edition,OCI-5210,oracle,Analytics,IL5,False
Identity/Security/WAF,Cloud Guard - Global Configuration,OCI-5211,oracle,Security,IL2,False
Identity/Security/WAF,WAF - Edge Policy,OCI-5212,oracle,Security,IL4|IL5,True
Identity/Security/WAF,WAF - Request fee,OCI-5213,oracle,Security,IL4,True
Identity/Security/WAF,Vault - Key Version,OCI-5214,oracle,Security,IL4|IL5,False
Identity/Security/WAF,Vault - Secret Version,OCI-5215,oracle,Security,IL5,False
PaaS/Containers/Functions,OKE (Kubernetes) - Cluster Management Fee,OCI-5216,oracle,Developer Services,IL4,False
PaaS/Containers/Functions,OKE (Kubernetes) - Worker Node OCPU,OCI-5217,oracle,Developer Services,IL2,True
PaaS/Containers/Functions,Functions - Invocations,OCI-5218,oracle,Developer Services,IL2|IL4,False
PaaS/Containers/Functions,Functions - Execution Duration (GB-Sec),OCI-5219,oracle,Developer Services,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - OCPU,OCI-5220,oracle,Compute,IL4,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - Memory (GB),OCI-5221,oracle,Compute,IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - OCPU,OCI-5222,oracle,Compute,IL4,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - Memory (GB),OCI-5223,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - OCPU,OCI-5224,oracle,Compute,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - Memory (GB),OCI-5225,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - OCPU,OCI-5226,oracle,Compute,IL4|IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - Memory (GB),OCI-5227,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.GPU.A10.1 - 1 GPU,OCI-5228,oracle,Compute,IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - BM.Standard.E5.128 - Bare Metal,OCI-5229,oracle,Compute,IL2,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Balanced,OCI-5230,oracle,Storage,IL4|IL5,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Higher Perf,OCI-5231,oracle,Storage,IL2,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Ultra High,OCI-5232,oracle,Storage,IL4|IL5,True
Object/Block/File Storage,Block Volume - Storage Capacity,OCI-5233,oracle,Storage,IL2,False
Object/Block/File Storage,Object Storage - Standard Storage,OCI-5234,oracle,Storage,IL4,False
Object/Block/File Storage,Object Storage - Archive Storage,OCI-5235,oracle,Storage,IL5,False
Object/Block/File Storage,Object Storage - Requests (A/B),OCI-5236,oracle,Storage,IL4|IL5,True
Object/Block/File Storage,Object Storage - Data Retrieval,OCI-5237,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,File Storage - Capacity,OCI-5238,oracle,Storage,IL2,False
Object/Block/File Storage,File Storage - Requests,OCI-5239,oracle,Storage,IL2|IL4,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - OCPU,OCI-5240,oracle,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - Storage,OCI-5241,oracle,Database,IL2,False
Managed SQL/NoSQL DB,Base Database Service - Standard Edition,OCI-5242,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition,OCI-5243,oracle,Database,IL2,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition High Performance,OCI-5244,oracle,Database,IL5,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition Extreme Performance,OCI-5245,oracle,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 Infrastructure,OCI-5246,oracle,Database,IL2,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 OCPU,OCI-5247,oracle,Database,IL2|IL4,True
